"nodeID","xcoord","ycoord","floor","building","nodeType","longName","shortName","teamAssigned"
"IDEPT00603",2333,764,3,"45 Francis","DEPT","Maternal Fetal Practice","D6","Team I"
"IDEPT00703",2400,764,3,"45 Francis","DEPT","Obstetrics","D7","Team I"
"IDEPT00803",2492,887,3,"45 Francis","DEPT","Fetal Med & Genetics","D8","Team I"
"IDEPT00903",2631,851,3,"45 Francis","DEPT","Gynecology","D9","Team I"
"WELEV00E01",3265,830,1,"45 Francis","ELEV","Elevator E Floor 1","Elevator E1","Team E"
"WELEV00E02",3235,880,2,"45 Francis","ELEV","Elevator E Floor 2","Elevator E2","Team B"
"WELEV00F01",3050,980,1,"45 Francis","ELEV","Elevator F Floor 1","Elevator F1","Team E"
"WELEV00F02",3075,960,2,"45 Francis","ELEV","Elevator F Floor 2","Elevator F2","Team B"
"WELEV00G01",2935,900,1,"45 Francis","ELEV","Elevator G Floor 1","Elevator G1","Team E"
"WELEV00G02",2945,870,2,"45 Francis","ELEV","Elevator G Floor 2","Elevator G2","Team B"
"WELEV00HL1",2715,1070,"L1","45 Francis","ELEV","Elevator H Floor L1","Elevator HL1","Team C"
"WELEV00H01",2735,1070,1,"45 Francis","ELEV","Elevator H Floor 1","Elevator H1","Team E"
"WELEV00H02",2725,1065,2,"45 Francis","ELEV","Elevator H Floor 2","Elevator H2","Team B"
"WELEV00H03",2715,1075,3,"45 Francis","ELEV","Elevator H Floor 3","Elevator H3","Team I"
"WELEV00JL2",2360,805,"L2","45 Francis","ELEV","Elevator J Floor L2","Elevator JL2","Team C"
"WELEV00JL1",2360,800,"L1","45 Francis","ELEV","Elevator J Floor L1","Elevator JL1","Team C"
"WELEV00J01",2385,810,1,"45 Francis","ELEV","Elevator J Floor 1","Elevator J1","Team E"
"WELEV00J02",2385,800,2,"45 Francis","ELEV","Elevator J Floor 2","Elevator J2","Team B"
"WELEV00J03",2365,800,3,"45 Francis","ELEV","Elevator J Floor 3","Elevator J3","Team I"
"WELEV00KL2",2215,975,"L2","45 Francis","ELEV","Elevator K Floor L2","Elevator KL2","Team C"
"WELEV00KL1",2220,975,"L1","45 Francis","ELEV","Elevator K Floor L1","Elevator KL1","Team C"
"WELEV00K01",2240,985,1,"45 Francis","ELEV","Elevator K Floor 1","Elevator K1","Team E"
"WELEV00K02",2240,965,2,"45 Francis","ELEV","Elevator K Floor 2","Elevator K2","Team B"
"WELEV00K03",2220,985,3,"45 Francis","ELEV","Elevator K Floor 3","Elevator K3","Team I"
"WELEV00LL2",1785,925,"L2","Tower","ELEV","Elevator L Floor L2","Elevator LL2","Team C"
"WELEV00LL1",1785,925,"L1","Tower","ELEV","Elevator L Floor L1","Elevator LL1","Team C"
"WELEV00L01",1810,930,1,"Tower","ELEV","Elevator L Floor 1","Elevator L1","Team F"
"WELEV00L02",1805,925,2,"Tower","ELEV","Elevator L Floor 2","Elevator L2","Team H"
"WELEV00L03",1790,925,3,"Tower","ELEV","Elevator L Floor 3","Elevator L3","Team H"
"WELEV00ML2",1820,1280,"L2","Tower","ELEV","Elevator M Floor L2","Elevator ML2","Team C"
"WELEV00ML1",1820,1285,"L1","Tower","ELEV","Elevator M Floor L1","Elevator ML1","Team C"
"WELEV00M01",1810,1280,1,"Tower","ELEV","Elevator M Floor 1","Elevator M1","Team F"
"WELEV00M02",1825,1280,2,"Tower","ELEV","Elevator M Floor 2","Elevator M2","Team H"
"WELEV00M03",1815,1290,3,"Tower","ELEV","Elevator M Floor 3","Elevator M3","Team H"
"WHALL001L2",1745,1525,"L2","Tower","HALL","Hallway Connector 1 Floor L2","Hallway W01L2","Team C"
"WHALL002L2",1745,1540,"L2","Shapiro","HALL","Hallway Connector 2 Floor L2","Hallway W02L2","Team G"
"WHALL00101",2160,910,1,"45 Francis","HALL","Hallway Connector 1 Floor 1","Hallway W0101","Team F"
"WHALL00201",2175,910,1,"45 Francis","HALL","Hallway Connector 2 Floor 1","Hallway W0201","Team E"
"WHALL00103",2060,1290,3,"45 Francis","HALL","Hallway Connector 1 Floor 3","Hallway W0103","Team H"
"WHALL00203",2080,1290,3,"45 Francis","HALL","Hallway Connector 2 Floor 3","Hallway W0203","Team I"
"WHALL00102",3345,865,2,"45 Francis","HALL","Hallway Connector 1 Floor 2","Hallway W0102","Team B"
"WHALL00202",3360,860,2,"15 Francis","HALL","Hallway Connector 2 Floor 2","Hallway W0202","Team D"
"WHALL00302",2085,900,2,"45 Francis","HALL","Hallway Connector 3 Floor 2","Hallway W0302","Team H"
"WHALL00402",2105,900,2,"45 Francis","HALL","Hallway Connector 4 Floor 2","Hallway W0402","Team B"
"WHALL00502",2085,1280,2,"45 Francis","HALL","Hallway Connector 5 Floor 2","Hallway W0502","Team H"
"WHALL00602",2105,1280,2,"45 Francis","HALL","Hallway Connector 6 Floor 2","Hallway W0602","Team B"
"WHALL00702",1740,1500,2,"Tower","HALL","Hallway Connector 7 Floor 2","Hallway W0702","Team H"
"WHALL00802",1720,1745,2,"Shapiro","HALL","Hallway Connector 8 Floor 2","Hallway W0802","Team G"
"WHALL00902",1690,2240,2,"Shapiro","HALL","Hallway Connector 9 Floor 2","Hallway W0902","Team G"
"WHALL01002",1690,2455,2,"BTM","HALL","Hallway Connector 10 Floor 2","Hallway W1002","Team A"
